category,operation,count,avg_us,min_us,max_us,ops_per_sec,avg_bytes
GPB,tx_serialize,500,0.491,0.449,3.923,2036594,193
GPB,tx_deserialize,500,2.115,1.823,13.837,472822,193
GPB,block_1tx_serialize,50,1.967,1.833,7.226,508435,1890
GPB,block_1tx_deserialize,50,7.792,4.347,58.072,128339,1890
GPB,block_10tx_serialize,50,15.392,15.177,19.744,64968,17087
GPB,block_10tx_deserialize,50,40.678,38.026,76.747,24584,17087
GPB,block_100tx_serialize,5,250.325,150.510,353.026,3995,169052
GPB,block_100tx_deserialize,5,518.681,500.324,538.538,1928,169052
BLAKE3,hash_256bytes,500,1.133,1.120,1.568,882800,256
Proof,plot_generation,1,109.952,109.952,109.952,9095,2097152
Proof,proof_search,50,0.024,0.019,0.230,41220115,96
ZMQ,inproc_rtt,500,5.902,5.659,20.924,169420,66
ZMQ,tcp_rtt,50,165.918,145.389,965.091,6027,258
