category,operation,count,avg_us,min_us,max_us,ops_per_sec,avg_bytes
GPB,tx_serialize,500,0.535,0.471,3.963,1868153,193
GPB,tx_deserialize,500,2.107,1.819,13.918,474680,193
GPB,block_1tx_serialize,50,1.914,1.814,4.802,522401,1890
GPB,block_1tx_deserialize,50,7.585,4.332,58.045,131844,1890
GPB,block_10tx_serialize,50,15.432,15.181,18.331,64799,17087
GPB,block_10tx_deserialize,50,40.473,37.875,76.574,24708,17087
GPB,block_100tx_serialize,5,249.503,151.284,344.479,4008,169052
GPB,block_100tx_deserialize,5,519.102,498.112,543.712,1926,169052
BLAKE3,hash_256bytes,500,1.138,1.114,6.899,879085,256
Proof,plot_generation,1,67.642,67.642,67.642,14784,2097152
Proof,proof_search,50,0.029,0.018,0.506,34411562,96
ZMQ,inproc_rtt,500,5.827,5.589,21.730,171628,66
ZMQ,tcp_rtt,50,167.415,145.981,989.628,5973,258
