category,operation,count,avg_us,min_us,max_us,ops_per_sec,avg_bytes
GPB,tx_serialize,500,0.546,0.475,4.341,1831549,193
GPB,tx_deserialize,500,2.094,1.795,13.584,477668,193
GPB,block_1tx_serialize,50,1.917,1.816,4.851,521529,1890
GPB,block_1tx_deserialize,50,7.610,4.431,57.117,131409,1890
GPB,block_10tx_serialize,50,15.339,15.200,15.748,65192,17087
GPB,block_10tx_deserialize,50,40.568,38.079,76.674,24650,17087
GPB,block_100tx_serialize,5,249.090,149.040,357.831,4015,169052
GPB,block_100tx_deserialize,5,521.585,500.620,541.986,1917,169052
BLAKE3,hash_256bytes,500,1.172,1.158,1.540,852889,256
Proof,plot_generation,1,66.078,66.078,66.078,15134,2097152
Proof,proof_search,50,0.023,0.018,0.225,43140638,96
ZMQ,inproc_rtt,500,5.951,5.637,21.227,168028,66
ZMQ,tcp_rtt,50,169.752,146.319,999.415,5891,258
